Time,PlayerLocation,PlaterRotation,
2023.10.14-15.47.02.720,X=402116.792 Y=372079.290 Z=1414.941,P=-1.595291 Y=48.908280 R=2.550743,
2023.10.14-15.47.02.766,X=402121.531 Y=372095.419 Z=1414.941,P=-1.985800 Y=49.114920 R=2.656289,
2023.10.14-15.47.02.817,X=402127.156 Y=372113.781 Z=1414.941,P=-2.283982 Y=49.185722 R=2.323051,
2023.10.14-15.47.02.866,X=402128.966 Y=372119.690 Z=1414.941,P=-2.022995 Y=49.064031 R=1.753849,
2023.10.14-15.47.02.914,X=402128.966 Y=372119.690 Z=1414.941,P=-1.689772 Y=48.789749 R=1.648435,
2023.10.14-15.47.02.961,X=402128.966 Y=372119.690 Z=1414.941,P=-1.583654 Y=48.341043 R=1.926392,
2023.10.14-15.47.03.002,X=402128.966 Y=372119.690 Z=1414.941,P=-1.784739 Y=48.089041 R=2.298330,
2023.10.14-15.47.03.047,X=402128.966 Y=372119.690 Z=1414.941,P=-2.198025 Y=47.732215 R=2.485421,
2023.10.14-15.47.03.096,X=402128.966 Y=372119.690 Z=1414.941,P=-2.349855 Y=47.412317 R=2.666528,
2023.10.14-15.47.03.144,X=402128.966 Y=372119.690 Z=1414.941,P=-2.922679 Y=47.005481 R=3.190389,
2023.10.14-15.47.03.190,X=402128.966 Y=372119.690 Z=1414.941,P=-3.620791 Y=46.884479 R=2.980167,
2023.10.14-15.47.03.239,X=402128.966 Y=372119.690 Z=1414.941,P=-3.700987 Y=46.958299 R=2.404595,
2023.10.14-15.47.03.287,X=402129.566 Y=372120.333 Z=1414.941,P=-3.429334 Y=47.342386 R=2.325684,
2023.10.14-15.47.03.328,X=402131.217 Y=372122.119 Z=1414.941,P=-3.525766 Y=47.728215 R=2.477096,
2023.10.14-15.47.03.373,X=402134.115 Y=372125.290 Z=1414.941,P=-4.038114 Y=48.231798 R=2.849547,
2023.10.14-15.47.03.422,X=402139.888 Y=372131.701 Z=1414.941,P=-5.091098 Y=48.892485 R=3.106877,
2023.10.14-15.47.03.473,X=402149.438 Y=372142.511 Z=1414.941,P=-6.961633 Y=49.251053 R=3.512901,
2023.10.14-15.47.03.522,X=402162.163 Y=372157.116 Z=1414.941,P=-8.801408 Y=49.607097 R=3.820901,
2023.10.14-15.47.03.570,X=402177.705 Y=372175.172 Z=1414.941,P=-9.898888 Y=50.214622 R=3.176417,
2023.10.14-15.47.03.623,X=402196.560 Y=372197.441 Z=1414.941,P=-10.821322 Y=50.904337 R=3.272503,
2023.10.14-15.47.03.674,X=402216.460 Y=372221.305 Z=1414.941,P=-12.008918 Y=51.943842 R=3.231233,
2023.10.14-15.47.03.729,X=402237.247 Y=372246.914 Z=1414.941,P=-12.210187 Y=53.330460 R=2.538872,
2023.10.14-15.47.03.783,X=402256.442 Y=372271.419 Z=1414.941,P=-12.161956 Y=54.885255 R=2.717636,
2023.10.14-15.47.03.840,X=402276.097 Y=372297.702 Z=1414.941,P=-12.274341 Y=56.422562 R=2.780262,
2023.10.14-15.47.03.897,X=402295.710 Y=372325.357 Z=1414.941,P=-12.474447 Y=57.952543 R=3.031291,
